count,raw_efficiency
14,0
1,0.0
1,0.05
1,0.1
1,0.14
2,0.15
1,0.18
4,0.2
1,0.205
2,0.23
1,0.24
1,0.26
1,0.3
1,0.38
1,0.45
1,0.55
1,06.06
1,0.7
2,0.725
1,0.8
1,0.82
1,0.85
1,0.88
1,0.9
7,1
1,<10
2,1.0
11,10
1,1.00
21,100
4,100.0
4,1000
1,10000
1,100000
1,10.2
3,10.3
2,10.42
1,1043
2,104.5
1,10.5
1,1050
2,10.66
2,10.7
1,1.1
3,11
3,110
1,1100
1,11000
1,1105.2
2,11.1
2,11.10
1,11.15
1,11.2
2,11.24
2,1125
1,1.13
1,11.3
1,115
1,1150
1,1.17
1,117.5
1,1188
2,1.2
8,12
2,120
1,1200
1,1202
1,1211
1,12.12
1,1225
1,1226
1,1229
1,123.5
1,12.4
1,1244
1,12.5
1,1256
1,1272
1,1280
1,12812
5,1.3
4,13
1,130
1,1300
1,1304
2,132.5
1,1347
3,135
1,1350
1,13.6
1,137.5
1,1390
1,1.4
2,14
1,1400
1,141
1,1412
1,14.4
1,1449
1,14.5
1,14.75
1,1488
1,149
2,1.5
8,15
8,150
8,1500
1,1511
1,1516
1,1527
1,1529
2,15.3
1,1542
1,155
1,1550
1,15.6
1,1575
1,15.82
1,1583
1,158.75
1,15.9
6,1.6
1,16
2,160
1,16.1
1,161
1,16.2
1,162
1,16.25
1,165
2,1.68
2,17
4,1700
1,1713
1,1741
1,17.5
5,1.8
7,18
4,1800
1,18.1
1,1.83
1,18.3
1,1.84
1,1850
1,18.60ｱ0.82
1,1867
1,1899.12
2,19
1,19.0
3,190
1,1900.10
1,1900.5
1,1909
1,19.0 ｱ 2.0
3,19.1
1,1922
1,1925
1,193
1,1937
1,1940
1,1943
1,1.95
3,19.5
3,2
1,2.0
7,20
1,20.0
6,200
1,200000
2,20.3
1,2044
1,20.97
1,2.1
3,21
2,210
1,2100
1,2109
2,21.1
1,21.2
1,21.25
1,21.5
1,2150
1,2172
1,2175
1,21.8
2,218
1,219.4
6,22
3,220
3,2200
1,222
1,22.5
1,226
1,228
1,2.29
1,23
1,230
2,23.2
1,23.23
1,2335
1,2376
1,24
1,240
1,2450
1,2.46
1,2476
3,2.5
3,25
2,250
3,2500
1,251
1,2569
1,257
3,26
3,260
1,26.1
2,262.5
2,2650
1,2656
2,27
2,270
2,2700
2,27.1
2,27.5
1,2750
1,2.8
5,28
2,2800
1,2816
1,28.2
3,29
2,29.4
1,294
2,29.5
1,29.6
3,3
5,<30
1,30
4,300
3,3000
1,30000
1,3056
2,31
1,3100
2,31.1
1,31.16
1,31.25
1,3.13
1,3176
1,31.8
3,3.2
2,32
1,32.0
2,32.5
2,3.3
1,3300
1,33.25
1,3344
1,33.75
2,3400
1,341
1,347
5,35
2,350
2,3500
1,353
1,3.54
1,35.6
1,36
1,3600
1,362.5
1,3.63
1,370
1,371
1,3.75
1,37.5
1,375
2,38
2,39
1,391.4
4,4
9,40
6,400
1,40000
1,405
1,4050
3,4.1
2,41
1,415
1,4.16
2,42
1,424
1,43
1,4.375
1,43.93
2,44
1,440
1,4400
3,4.5
4,45
2,450
1,4500
1,460
1,461
1,46.25
1,46.87
3,47
1,4.70E+05
4,47.5
1,475
1,48
1,48.0
2,48333
1,492
1,496
5,5
2,5.0
13,50
5,500
2,5000
1,50000
1,5125
3,52
1,52.5
2,53
1,530
1,53.13
1,53.3
1,539
1,5.41
4,55
1,550
1,555
1,56
1,5670
2,56.8
2,57
1,572
1,57.5
1,575
1,57  / 75
2,5.8
4,58
1,580
1,588.8
1,590
1,6
1,6.0
7,60
1,60.0
1,600
1,6000
1,607.5  / 2400
2,6.1
2,61
1,6.10
1,615
1,6.2
1,6.25
1,625
1,626.5
1,627ｱ124
1,63.06
2,64
1,64.0
2,65
3,650
1,6.6
2,67
2,6.8
4,68
2,68333
1,6.9
5,7
12,70
1,70.0
1,700
2,7000
1,70000
1,70 ｱ 4
2,71
1,7.2
2,72
1,72.5
2,72500
1,7.3
1,73
1,73333
1,734
1,74
4,7.5
5,75
4,750
2,7500
1,75.2
1,76
1,79
3,790
1,7916
3,79.2
1,7.99
5,8
1,8.0
7,80
5,800
1,810
1,8.13
1,82
1,82.21
1,830
1,840
1,845
5,85
1,850
1,856
1,86
2,860
1,86ｱ3
2,87
1,872
2,87.5
1,87ｱ3
1,88
1,880
1,89
1,890
1,89.5
5,9
8,90
1,90.62
1,9.1
2,9.2
1,92
2,92.8
1,93.2
4,9.4
3,94
1,943
1,9.5
2,95
1,950
1,95ｱ10
2,97
1,97ｱ3
1,98.4
1,987
1,98.9
